Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Smithfield Industrial",10,0,0,0,0,10,
"Yennora Industrial",14,0,0,0,0,14,
"North Parramatta",20244,169,7,0,1815,22232,
"North Rocks",7667,25,0,0,190,7878,
"Northmead",18931,100,3,0,1350,20383,
"Parramatta - Rosehill",26717,114,7,5,2406,29243,
"Toongabbie - Constitution Hill",20705,294,7,4,933,21936,
"Winston Hills",10498,69,0,0,202,10774,
"Pendle Hill - Girraween",12125,75,3,0,638,12842,
"Wentworthville - Westmead",14826,92,0,3,676,15599,
"Epping - North Epping",26326,48,0,0,713,27093,
"Pennant Hills - Cheltenham",19880,46,3,0,559,20495,
"Eastwood - Denistone",24192,42,6,3,804,25045,
"Gladesville - Huntleys Point",13626,60,9,6,714,14409,
"Hunters Hill - Woolwich",9757,68,0,0,515,10341,
"Macquarie Park - Marsfield",20728,67,0,0,927,21728,
"North Ryde - East Ryde",11906,44,0,0,356,12311,
"West Ryde - Meadowbank",18632,79,0,0,663,19375,
"Putney",3995,9,0,0,139,4143,
"Ryde",25825,100,4,0,1235,27174,
"Ashcroft - Busby - Miller",14979,721,13,4,1620,17335,
"Austral - Greendale",8026,145,4,0,739,8918,
"Cobbitty - Leppington",16324,285,6,11,1272,17890,
"Badgerys Creek",50,0,0,0,7,59,
"Cecil Hills",6694,9,0,0,306,7015,
"Green Valley",11921,121,0,0,474,12514,
"Hinchinbrook",11742,134,5,0,421,12295,
"Hoxton Park - Carnes Hill - Horningsea Park",11013,144,0,3,420,11588,
"West Hoxton - Middleton Grange",14376,112,0,4,693,15187,
"Bonnyrigg Heights - Bonnyrigg",15340,139,3,0,498,15980,
"Bossley Park - Abbotsbury",18130,130,8,3,567,18834,
"Cabramatta - Lansvale",23497,60,7,0,1141,24708,
"Cabramatta West - Mount Pritchard",16074,239,17,10,859,17188,
"Canley Vale - Canley Heights",19828,146,4,0,845,20819,
"Edensor Park",9468,38,0,0,268,9772,
"Fairfield",16856,65,6,3,769,17704,
"Fairfield - West",18232,117,0,0,738,19088,
"Greenfield Park - Prairiewood",8031,58,11,0,240,8336,
"Horsley Park - Kemps Creek",3999,51,0,0,378,4426,
"Smithfield - Wetherill Park",17034,201,4,0,814,18045,
"St Johns Park - Wakeley",10415,70,12,0,375,10866,
"Wetherill Park Industrial",32,0,0,0,0,36,
"Casula",14587,141,3,3,931,15661,
"Chipping Norton - Moorebank",17855,190,0,0,699,18748,
"Holsworthy - Wattle Grove",19512,341,14,0,831,20706,
"Liverpool",23606,249,7,0,3306,27172,
"Lurnea - Cartwright",10452,303,7,4,913,11686,
"Prestons - Edmondson Park",16718,188,7,0,677,17580,
"Warwick Farm",4903,86,3,0,808,5798,
"Gymea - Grays Point",16758,154,19,0,548,17479,
"Miranda - Yowie Bay",17241,191,3,0,801,18230,
"Sylvania - Taren Point",15118,131,0,0,683,15940,
"Caringbah",11019,154,7,11,586,11764,
"Caringbah South",11513,119,10,8,407,12058,
"Cronulla - Kurnell - Bundeena",21563,287,14,3,1625,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",3051,5,6,0,93,3149,
"Woolaware - Burraneer",7381,57,0,4,290,7728,
"Heathcote - Waterfall",6276,85,0,3,139,6504,
"Illawong - Alfords Point",10083,62,0,0,221,10366,
"Menai - Lucas Heights - Woronora",20247,242,8,0,631,21128,
"Oyster Bay - Como - Jannali",20400,194,9,5,650,21254,
"Royal National Park",18,0,0,0,7,24,
"Sutherland - Kirrawee",19704,237,5,13,914,20874,
"Engadine",16337,224,7,8,423,16992,
"Loftus - Yarrawarrah",6967,92,4,0,184,7247,
"Woronora Heights",3525,47,0,0,79,3646,
"Migratory - Offshore - Shipping (NSW)",359,10,0,0,44,419,
"No Usual Address (NSW)",9526,789,24,29,1921,12288,
"Alfredton",11067,90,4,4,497,11658,
"Ballarat",11220,63,8,0,758,12046,
"Ballarat - North",21496,289,12,6,1280,23083,
"Ballarat - South",22107,406,25,10,1686,24232,
"Buninyong",6645,58,0,0,458,7153,
"Delacombe",6601,112,5,3,356,7082,
"Smythes Creek",3671,59,0,0,205,3935,
"Wendouree - Miners Rest",13329,326,13,10,944,14633,
"Bacchus Marsh Region",5378,47,4,6,436,5872,
"Creswick - Clunes",7004,103,0,0,713,7822,
"Daylesford",8144,59,3,0,750,8956,
"Gordon (Vic.)",5138,52,3,5,463,5661,
"Avoca",2992,40,0,0,271,3303,
"Beaufort",3976,94,10,4,316,4393,
"Golden Plains - North",4180,41,0,3,263,4483,
"Maryborough (Vic.)",7310,103,13,8,491,7922,
"Maryborough Region",4808,76,0,0,381,5267,
"Bendigo",12964,319,14,10,1156,14460,
"California Gully - Eaglehawk",10608,321,15,12,1012,11962,
"East Bendigo - Kennington",12638,170,8,0,696,13509,
"Flora Hill - Spring Gully",8661,105,4,0,522,9295,
"Kangaroo Flat - Golden Square",18009,367,11,11,1292,19688,
"Maiden Gully",4814,23,0,0,246,5087,
"Strathfieldsaye",8210,58,0,3,360,8629,
"White Hills - Ascot",10807,208,4,0,727,11750,
"Bendigo Region - South",6624,74,0,0,483,7180,
"Castlemaine",9549,127,5,0,895,10583,
"Castlemaine Region",7764,83,0,0,628,8468,
"Heathcote",4057,44,0,0,409,4508,
"Kyneton",8874,62,0,0,717,9649,
"Woodend",6263,28,0,0,605,6895,
"Bendigo Region - North",4003,56,3,0,306,4365,
"Loddon",6194,90,6,7,756,7058,
"Bannockburn",6036,36,0,0,340,6417,
"Golden Plains - South",6423,59,0,3,368,6855,
"Winchelsea",5321,34,3,0,390,5746,
"Belmont",13182,97,5,4,730,14025,
"Corio - Norlane",23831,485,28,13,1991,26347,
"Geelong",11698,106,7,3,875,12690,
"Geelong West - Hamlyn Heights",18245,127,19,0,1074,19465,
"Grovedale",21912,238,7,0,1114,23274,
"Highton",21102,94,5,0,905,22103,
"Lara",16939,243,10,8,887,18088,
"Leopold",12055,132,0,0,631,12814,
"Newcomb - Moolap",13533,182,6,4,868,14595,
"Newtown (Vic.)",9504,64,3,0,586,10148,
"North Geelong - Bell Park",13370,139,3,0,1119,14629,
"Clifton Springs",12526,133,8,0,682,13348,
"Lorne - Anglesea",4621,17,0,0,410,5054,
"Ocean Grove - Barwon Heads",22062,153,0,4,1206,23424,
"Portarlington",6727,61,0,0,606,7401,
"Point Lonsdale - Queenscliff",3835,15,0,0,304,4151,
"Torquay",17361,125,3,0,877,18361,
"Alexandra",5745,78,3,0,514,6337,
"Euroa",5753,57,4,3,456,6275,
"Kilmore - Broadford",12791,164,4,0,915,13872,
"Mansfield (Vic.)",8055,63,0,0,722,8843,
"Nagambie",3589,50,0,0,363,4006,
"Seymour",5521,155,3,8,649,6332,
"Seymour Region",3946,66,7,0,420,4432,
"Upper Yarra Valley",157,3,0,0,19,184,
"Yea",3194,40,8,0,312,3558,
"Benalla",9391,176,6,0,761,10330,
"Benalla Region",3194,45,0,0,357,3594,
"Rutherglen",3572,50,0,0,234,3869,
"Wangaratta",17267,272,14,5,1150,18715,
"Wangaratta Region",8761,86,0,0,752,9601,
"Beechworth",4196,39,0,0,335,4566,
"Bright - Mount Beauty",7276,59,0,0,818,8147,
"Chiltern - Indigo Valley",2827,31,6,0,228,3097,
"Myrtleford",4253,53,0,0,333,4634,
"Towong",5417,83,4,7,445,5953,
"West Wodonga",13812,352,15,15,760,14951,
"Wodonga",22159,559,28,11,1641,24397,
"Yackandandah",4238,61,3,0,190,4487,
"Drouin",14879,229,12,7,1086,16210,
"Mount Baw Baw Region",5564,33,0,0,416,6012,
"Trafalgar (Vic.)",7012,39,0,5,583,7646,
"Warragul",17509,145,8,3,1100,18761,
"Alps - East",0,0,0,0,0,0,
"Bairnsdale",12795,512,11,4,1400,14726,
"Bruthen - Omeo",6999,137,0,0,607,7743,
"Lake King",0,0,0,0,0,0,
"Lakes Entrance",8830,232,4,0,848,9917,
"Orbost",5625,296,6,0,520,6453,
"Paynesville",5790,84,0,0,440,6313,
"Foster",7818,66,12,0,826,8730,
"French Island",103,6,0,0,13,114,
"Korumburra",8454,81,3,3,578,9119,
"Leongatha",10190,81,9,9,787,11081,
"Phillip Island",9616,67,3,11,685,10380,
"Wilsons Promontory",11,0,0,0,0,14,
"Wonthaggi - Inverloch",20356,206,14,4,1647,22228,
"Churchill",10375,147,5,0,869,11399,
"Moe - Newborough",15083,267,7,8,1179,16550,
"Morwell",12160,332,17,0,1300,13811,
"Traralgon",24438,286,13,23,2026,26788,
"Yallourn North - Glengarry",4195,68,0,0,288,4548,
"Alps - West",24,0,0,0,0,24,
"Longford - Loch Sport",3820,52,0,0,427,4304,
"Maffra",12704,177,12,3,971,13867,
"Rosedale",4328,103,0,0,298,4723,
"Sale",13369,225,6,5,1049,14646,
"Yarram",4800,52,0,9,447,5309,
"Brunswick",23735,130,0,4,1560,25437,
"Brunswick East",10241,66,7,0,653,10965,
"Brunswick West",12868,61,4,0,799,13731,
"Coburg",24840,102,5,0,1212,26163,
"Pascoe Vale South",9344,47,0,0,572,9956,
"Alphington - Fairfield",8427,36,0,4,471,8938,
"Northcote",22998,146,12,5,1510,24666,
"Thornbury",17203,131,0,0,1127,18464,
"Ascot Vale",13720,54,0,4,967,14745,
"Essendon - Aberfeldie",25836,88,0,0,1559,27484,
"Flemington",9067,57,4,0,991,10111,
"Moonee Ponds",13489,55,3,5,700,14252,
"Carlton",17210,74,0,4,1711,18998,
"Docklands",9555,23,3,0,1392,10966,
"East Melbourne",4374,19,3,0,568,4964,
"Flemington Racecourse",52,0,0,0,34,85,
"Kensington (Vic.)",10025,47,0,5,740,10812,
"Melbourne",32940,51,3,5,4330,37325,
"North Melbourne",18253,107,3,7,2273,20634,
"Parkville",6504,42,3,3,857,7409,
"South Yarra - West",5324,26,0,0,744,6097,
"Southbank",16244,34,3,4,2385,18670,
"West Melbourne",6,0,0,0,0,6,
"Albert Park",14095,25,0,0,1254,15383,
"Elwood",13807,49,5,0,1364,15220,
"Port Melbourne",14711,60,3,0,1388,16158,
"Port Melbourne Industrial",15,0,0,0,0,15,
"South Melbourne",10407,59,3,3,1083,11548,
"St Kilda",22428,119,5,9,3553,26122,
"St Kilda East",14943,45,6,0,1429,16418,
"Armadale",8339,27,0,0,602,8975,
"Prahran - Windsor",17722,74,3,0,1915,19719,
"South Yarra - East",18581,61,0,3,2071,20728,
"Toorak",12075,29,4,0,937,13046,
"Abbotsford",7425,28,0,4,732,8184,
"Carlton North - Princes Hill",7900,24,0,0,512,8426,
"Collingwood",7384,72,0,0,1048,8512,
"Fitzroy",9007,41,3,3,1390,10447,
"Fitzroy North",11356,51,3,3,928,12338,
"Richmond (Vic.)",28024,87,12,0,2376,30502,
"Yarra - North",8297,47,7,0,690,9041,
"Ashburton (Vic.)",7411,26,0,0,316,7753,
"Balwyn",15186,25,0,0,618,15834,
"Balwyn North",19461,25,3,0,725,20222,
"Camberwell",20510,44,0,0,854,21398,
"Glen Iris - East",15792,21,0,0,512,16324,
"Hawthorn",21428,43,4,0,1505,22975,
"Hawthorn East",14322,29,0,0,816,15165,
"Kew",23278,42,4,3,1407,24729,
"Kew East",6181,15,0,0,310,6510,
"Surrey Hills (West) - Canterbury",15624,28,0,0,667,16320,
"Bulleen",10498,19,3,0,516,11044,
"Doncaster",19757,37,0,4,784,20581,
"Templestowe",15987,33,0,0,599,16620,
"Templestowe Lower",13005,16,0,0,575,13592,
"Doncaster East (North)",14118,10,0,0,450,14577,
"Doncaster East (South)",13466,20,0,0,466,13957,
"Blackburn",20590,42,3,0,740,21383,
"Blackburn South",10336,16,0,0,439,10793,
"Box Hill",18804,34,0,0,982,19832,
"Box Hill North",16935,28,5,0,585,17549,
"Burwood",11679,36,0,4,525,12247,
"Burwood East",9924,12,0,0,333,10269,
"Surrey Hills (East) - Mont Albert",9620,9,3,0,338,9965,
"Beaumaris",12781,18,3,0,668,13474,
"Brighton (Vic.)",21391,30,3,0,1273,22694,
"Brighton East",15107,17,0,0,712,15834,
"Cheltenham - Highett (West)",10389,26,4,0,522,10938,
"Hampton",16622,47,0,0,969,17638,
"Sandringham - Black Rock",15623,39,3,0,844,16508,
"Bentleigh - McKinnon",21472,17,4,0,923,22419,
"Carnegie",17173,29,5,0,859,18064,
"Caulfield - North",19734,37,4,3,1202,20980,
"Caulfield - South",16647,12,0,0,790,17452,
"Elsternwick",10759,25,0,0,575,11353,
"Hughesdale",7230,8,0,0,319,7558,
"Murrumbeena",8892,13,0,6,350,9249,
"Ormond - Glen Huntly",12744,11,0,0,579,13341,
"Bentleigh East (North)",14103,48,5,0,626,14783,
"Bentleigh East (South)",12678,30,0,0,522,13237,
"Aspendale Gardens - Waterways",8672,22,0,0,288,8989,
"Braeside",29,0,0,0,29,61,
"Carrum - Patterson Lakes",10818,56,5,0,668,11547,
"Chelsea - Bonbeach",13190,73,4,3,917,14191,
"Chelsea Heights",5112,14,7,0,191,5337,
"Cheltenham - Highett (East)",21114,85,3,0,1065,22271,
"Edithvale - Aspendale",11975,65,0,3,698,12750,
"Mentone",12317,35,4,0,602,12965,
"Moorabbin - Heatherton",8215,33,7,0,550,8799,
"Moorabbin Airport",0,0,0,0,0,0,
"Mordialloc - Parkdale",18962,77,7,0,877,19913,
"Malvern - Glen Iris",18921,34,0,0,1086,20042,
"Malvern East",20405,55,0,0,853,21319,
"Bundoora - East",9424,76,8,0,395,9898,
"Greensborough",19641,97,3,4,723,20460,
"Heidelberg - Rosanna",14012,56,0,0,700,14771,
"Heidelberg West",12700,184,6,5,1253,14151,
"Ivanhoe",10866,33,9,0,483,11384,
"Ivanhoe East - Eaglemont",7398,3,0,0,285,7694,
"Montmorency - Briar Hill",15448,78,0,0,568,16095,
"Viewbank - Yallambie",17599,92,5,0,605,18303,
"Watsonia",8715,46,0,0,350,9113,
"Kingsbury",10586,58,0,0,679,11330,
"Reservoir - East",24579,314,4,6,2168,27075,
"Reservoir - West",22455,174,4,0,1404,24037,
"Preston - East",18279,192,10,5,1535,20027,
"Preston - West",11484,56,0,0,642,12189,
"Eltham",21977,90,0,0,834,22901,
"Hurstbridge",3290,23,0,0,137,3451,
"Kinglake",3452,52,4,0,341,3846,
"Panton Hill - St Andrews",4717,16,0,0,418,5152,
"Plenty - Yarrambat",8976,29,5,0,357,9363,
"Research - North Warrandyte",6339,9,3,0,346,6704,
"Wattle Glen - Diamond Creek",13158,60,3,0,481,13703,
"Bundoora - North",7116,30,6,0,307,7449,
"Bundoora - West",5814,65,0,0,319,6190,
"Lalor",21372,133,7,14,1285,22808,
"Mill Park - North",17054,109,3,0,656,17819,
"Mill Park - South",11215,88,9,9,577,11889,
"Thomastown",19117,143,0,5,1046,20311,
"Wallan",14711,235,5,5,1265,16218,
"Whittlesea",7496,85,0,0,538,8129,
"Doreen",19987,226,10,3,710,20935,
"Epping - East",12472,137,0,0,549,13167,
"Epping - South",7759,98,0,5,473,8336,
"Epping - West",10306,37,0,9,535,10886,
"Mernda",15263,185,10,12,986,16459,
"South Morang (North)",11532,79,0,6,434,12051,
"South Morang (South)",11503,88,6,0,409,12002,
"Wollert",8453,28,0,5,578,9060,
"Airport West",7105,29,0,0,429,7562,
"Essendon Airport",0,0,0,0,0,0,
"Keilor",8131,33,0,0,344,8505,
"Keilor East",24830,56,3,0,1252,26148,
"Niddrie - Essendon West",6650,18,4,0,250,6921,
"Strathmore",9002,31,7,3,388,9430,
"Gisborne",12096,62,4,0,663,12827,
"Macedon",3128,19,0,0,234,3382,
"Riddells Creek",3832,19,0,0,152,4006,
"Romsey",8595,77,9,7,670,9359,
"Coburg North",7106,43,6,6,530,7681,
"Fawkner",12958,39,0,7,763,13766,
"Pascoe Vale",21902,116,6,0,1419,23447,
"Glenroy",20600,102,15,3,1391,22108,
"Gowanbrae",2753,10,0,0,142,2900,
"Hadfield",5260,21,0,5,318,5603,
"Sunbury",11972,89,8,0,644,12709,
"Sunbury - South",25013,277,18,9,1335,26653,
"Broadmeadows",11964,140,15,0,1188,13305,
"Campbellfield - Coolaroo",14818,97,11,4,1192,16123,
"Gladstone Park - Westmeadows",16620,68,6,0,909,17606,
"Greenvale - Bulla",15623,72,5,0,602,16295,
"Meadow Heights",13802,91,5,3,930,14841,
"Melbourne Airport",92,0,0,0,87,184,
"Roxburgh Park - Somerton",20660,87,6,0,1064,21812,
"Tullamarine",5976,30,0,0,455,6462,
"Craigieburn - Central",7818,109,7,0,451,8385,
"Craigieburn - North",10890,74,10,0,551,11522,
"Craigieburn - South",15452,129,13,0,694,16286,
"Craigieburn - West",13516,73,3,3,553,14151,
"Mickleham - Yuroke",3177,20,0,0,190,3388,
"Bayswater",11380,84,0,0,617,12078,
"Knoxfield - Scoresby",14481,58,7,0,548,15087,
"Lysterfield",6256,23,0,0,306,6582,
"Rowville - Central",14690,59,3,0,472,15222,
"Rowville - North",7790,25,0,0,187,8004,
"Rowville - South",10235,26,0,0,315,10573,
"Wantirna",13365,54,3,0,501,13923,
"Wantirna South",17302,41,6,0,460,17808,
"Boronia",20854,149,7,0,1082,22093,
"Ferntree Gully (North)",13193,86,3,5,611,13894,
"Ferntree Gully (South) - Upper Ferntree Gully",14052,82,0,0,483,14623,
"The Basin",4035,33,3,0,203,4271,
"Donvale - Park Orchards",15329,20,0,0,591,15941,
"Warrandyte - Wonga Park",9526,28,12,0,477,10047,
"Bayswater North",11069,57,0,4,647,11776,
"Croydon Hills - Warranwood",17349,67,6,3,557,17984,
"Ringwood",16404,79,0,0,665,17144,
"Ringwood East",19399,91,8,0,767,20263,
"Ringwood North",9156,51,0,0,316,9521,
"Croydon - East",14214,82,5,0,885,15185,
"Croydon - West",12758,78,5,0,506,13352,
"Croydon South",4499,31,0,0,187,4715,
"Forest Hill",10222,28,0,0,369,10623,
"Mitcham (Vic.)",15499,40,4,0,607,16148,
"Nunawading",11213,42,7,0,619,11880,
"Vermont",10135,22,0,0,289,10447,
"Vermont South",11392,13,0,0,267,11680,
"Belgrave - Selby",9448,45,0,0,524,10016,
"Chirnside Park",9462,57,0,0,347,9872,
"Healesville - Yarra Glen",12428,370,5,12,896,13703,
"Kilsyth",8644,89,3,0,439,9180,
"Lilydale - Coldstream",17763,159,12,9,782,18721,
"Monbulk - Silvan",5317,35,0,4,273,5637,
"Montrose",6376,29,0,4,399,6803,
"Mooroolbark",20982,145,5,0,923,22057,
"Mount Dandenong - Olinda",9097,40,0,3,558,9709,
"Mount Evelyn",9212,63,6,3,415,9698,
"Upwey - Tecoma",9203,25,0,0,374,9610,
"Wandin - Seville",7212,51,0,0,333,7598,
"Yarra Valley",14900,161,11,4,1084,16158,
"Beaconsfield - Officer",12453,80,5,3,487,13025,
"Bunyip - Garfield",7969,75,0,0,591,8640,
"Emerald - Cockatoo",16751,105,10,0,1137,18001,
"Koo Wee Rup",6796,69,0,0,609,7479,
"Pakenham - North",17357,169,4,0,1072,18604,
"Pakenham - South",26923,231,11,9,1369,28541,
"Berwick - North",21965,72,9,0,855,22896,
"Berwick - South",24815,102,5,0,874,25800,
"Doveton",10378,112,8,3,802,11305,
"Hallam",10279,41,3,7,429,10761,
"Narre Warren North",7370,17,0,0,371,7758,
"Endeavour Hills - North",11300,24,5,5,555,11896,
"Endeavour Hills - South",12718,40,0,0,594,13359,
"Narre Warren - North East",12855,54,5,9,491,13408,
"Narre Warren - South West",13224,78,3,0,641,13948,
"Cranbourne",18537,165,7,0,1380,20091,
"Cranbourne East",24446,142,6,3,1096,25691,
"Cranbourne North",18973,87,6,8,1044,20113,
"Cranbourne South",8127,64,3,3,623,8817,
"Cranbourne West",14265,116,9,0,669,15056,
"Hampton Park - Lynbrook",23751,150,9,6,1623,25532,
"Lynbrook - Lyndhurst",14483,25,0,0,712,15227,
"Pearcedale - Tooradin",7134,87,3,0,520,7742,
"Narre Warren South (East)",12669,34,0,0,423,13124,
"Narre Warren South (West)",16024,73,0,0,683,16782,
"Clarinda - Oakleigh South",11153,10,3,0,483,11653,
"Clayton South",11998,20,4,0,618,12640,
"Dandenong",28076,121,17,10,2453,30676,
"Dandenong North",21230,121,4,4,1076,22435,
"Dingley Village",9875,33,0,0,367,10286,
"Keysborough",25102,32,11,0,831,25984,
"Noble Park North",7100,20,0,0,364,7488,
"Springvale",20452,25,5,0,1298,21775,
"Springvale South",12155,28,0,0,465,12646,
"Noble Park - East",11583,60,0,9,776,12426,
"Noble Park - West",17685,47,8,0,893,18633,
"Ashwood - Chadstone",17073,60,0,6,1166,18299,
"Clayton",21172,49,0,0,1193,22407,
"Glen Waverley - East",20442,21,6,0,610,21085,
"Glen Waverley - West",18496,54,3,0,683,19242,
"Mount Waverley - North",14694,21,6,3,552,15275,
"Mount Waverley - South",17506,34,0,0,790,18336,
"Mulgrave",18407,50,6,0,913,19370,
"Oakleigh - Huntingdale",20161,53,0,10,1071,21291,
"Wheelers Hill",19089,18,0,3,636,19752,
"Ardeer - Albion",7151,56,5,0,628,7836,
"Cairnlea",9253,10,0,0,394,9662,
"Deer Park - Derrimut",24563,123,8,0,1554,26252,
"Delahey",7925,32,0,0,385,8342,
"Keilor Downs",12612,57,8,0,511,13185,
"Kings Park (Vic.)",12937,66,4,0,819,13836,
"St Albans - North",18445,50,15,5,1581,20091,
"St Albans - South",15901,76,10,0,1239,17219,
"Sunshine",9023,51,6,6,686,9772,
"Sunshine North",11048,31,0,3,613,11699,
"Sunshine West",17407,68,5,3,1106,18589,
"Sydenham",11204,51,3,0,751,12008,
"Taylors Lakes",16550,47,4,0,739,17337,
"Altona",11934,62,4,4,688,12685,
"Altona Meadows",18084,118,6,5,949,19159,
"Altona North",13026,51,3,4,919,14004,
"Newport",16721,66,3,0,782,17574,
"Seabrook",4800,38,0,0,286,5122,
"Williamstown",14537,70,3,0,838,15455,
"Braybrook",17044,73,4,0,1116,18232,
"Footscray",14716,96,8,0,1523,16340,
"Maribyrnong",11404,41,3,0,774,12221,
"Seddon - Kingsville",8643,52,4,0,534,9237,
"West Footscray - Tottenham",10661,67,6,0,719,11457,
"Yarraville",13915,63,3,0,815,14801,
"Bacchus Marsh",18983,258,8,0,1101,20345,
"Hillside",19171,63,0,10,973,20214,
"Melton",17288,320,8,4,1282,18903,
"Melton South",21681,283,12,8,1453,23437,
"Melton West",16144,286,3,0,1116,17550,
"Rockbank - Mount Cottrell",2596,125,0,0,318,3043,
"Taylors Hill",18504,26,0,0,694,19223,
"Burnside",4566,32,0,0,157,4749,
"Burnside Heights",5784,12,0,0,272,6071,
"Caroline Springs",18774,63,0,0,1062,19900,
"Hoppers Crossing - North",18076,147,0,3,996,19225,
"Hoppers Crossing - South",18363,162,9,0,941,19476,
"Laverton",8313,56,0,0,537,8903,
"Tarneit",32923,151,8,7,1698,34788,
"Truganina",22125,186,5,6,1087,23409,
"Werribee - South",10575,76,0,3,683,11334,
"Wyndham Vale",21778,304,11,4,1176,23274,
"Point Cook - East",11518,56,0,0,622,12198,
"Point Cook - North",22118,130,4,0,930,23177,
"Point Cook - South",13785,66,3,0,578,14432,
"Werribee - East",18333,235,0,0,1290,19862,
"Werribee - West",11101,138,0,0,569,11812,
"Carrum Downs",19183,223,13,3,1287,20713,
"Frankston",20525,217,10,6,1806,22568,
"Frankston North",17497,251,19,14,1510,19291,
"Frankston South",17358,94,8,4,742,18204,
"Langwarrin",22555,179,3,3,1098,23832,
"Seaford (Vic.)",14992,191,13,4,1256,16462,
"Skye - Sandhurst",12482,88,5,0,505,13078,
"Dromana",10271,66,6,0,676,11024,
"Flinders",4973,18,0,0,388,5371,
"Hastings - Somers",20240,339,33,7,1402,22019,
"Mornington",22652,138,14,0,1190,23991,
"Mount Eliza",17098,63,0,0,717,17889,
"Mount Martha",17709,64,6,0,777,18547,
"Point Nepean",15667,155,0,10,1291,17120,
"Rosebud - McCrae",19464,218,13,9,1243,20944,
"Somerville",16934,150,6,0,997,18086,
"Ararat",7748,125,5,0,414,8301,
"Ararat Region",2721,37,4,0,382,3142,
"Horsham",15102,254,15,4,874,16252,
"Horsham Region",3217,22,6,0,166,3407,
"Nhill Region",6372,88,0,3,425,6888,
"St Arnaud",3146,24,0,5,180,3351,
"Stawell",7350,131,7,5,605,8096,
"West Wimmera",2565,21,0,0,173,2764,
"Yarriambiack",6025,63,10,4,517,6623,
"Irymple",6315,131,4,0,420,6876,
"Merbein",4244,164,3,3,358,4773,
"Mildura Region",3341,63,0,5,303,3722,
"Red Cliffs",5155,164,6,4,558,5878,
"Mildura - North",15480,912,43,16,1623,18065,
"Mildura - South",12942,530,8,11,1067,14552,
"Buloke",5588,47,16,0,555,6202,
"Gannawarra",6133,112,0,0,407,6653,
"Kerang",3476,88,0,0,330,3890,
"Robinvale",2586,229,9,16,471,3313,
"Swan Hill",9423,379,9,12,1087,10907,
"Swan Hill Region",5325,169,12,0,872,6375,
"Echuca",13080,472,7,9,1004,14577,
"Kyabram",9899,186,12,9,806,10906,
"Lockington - Gunbower",3384,53,7,8,352,3802,
"Rochester",3587,43,9,0,246,3882,
"Rushworth",3668,65,4,0,302,4037,
"Cobram",5768,93,5,10,472,6345,
"Moira",2316,42,0,0,209,2570,
"Numurkah",11209,253,3,0,794,12265,
"Yarrawonga",7136,79,7,0,713,7929,
"Mooroopna",6785,512,4,18,616,7937,
"Shepparton - North",16482,597,13,25,1485,18603,
"Shepparton - South",20622,689,30,16,1778,23137,
"Shepparton Region - East",3549,57,0,0,243,3850,
"Shepparton Region - West",9070,211,9,4,839,10129,
"Glenelg (Vic.)",7833,185,3,3,689,8720,
"Hamilton (Vic.)",9288,162,3,0,514,9970,
"Portland",9686,257,8,12,830,10799,
"Southern Grampians",5585,77,3,0,404,6073,
"Camperdown",3207,21,3,0,266,3496,
"Colac",11321,141,7,0,781,12250,
"Colac Region",4911,60,5,0,351,5322,
"Corangamite - North",4876,48,5,0,454,5380,
"Corangamite - South",6576,70,0,0,517,7159,
"Otway",3060,40,0,0,324,3427,
"Moyne - East",6045,80,4,3,513,6650,
"Moyne - West",8644,97,0,3,689,9433,
"Warrnambool - North",19396,374,6,0,1317,21101,
"Warrnambool - South",11709,165,6,4,1042,12919,
"Migratory - Offshore - Shipping (Vic.)",22,0,0,0,5,26,
"No Usual Address (Vic.)",6222,249,20,11,1069,7572,
"Alexandra Hills",15246,430,24,32,622,16346,
"Belmont - Gumdale",7023,76,5,3,270,7371,
"Birkdale",13919,240,18,5,738,14922,
"Capalaba",16595,422,14,24,530,17593,
"Thorneside",3492,85,4,0,174,3764,
"Wellington Point",11039,144,20,8,369,11581,
"Cleveland",13767,221,4,16,788,14798,
"Ormiston",5511,75,3,8,199,5795,
"Redland Bay",14421,294,37,16,819,15591,
"Sheldon - Mount Cotton",7516,128,6,10,247,7904,
"Thornlands",13965,222,8,5,492,14694,
"Victoria Point",14121,220,7,13,657,15018,
"Redland Islands",7684,589,29,34,683,9014,
"Brisbane Port - Lytton",4,0,0,0,4,9,
"Manly - Lota",6978,106,10,4,324,7425,
"Manly West",10656,239,26,20,483,11431,
"Murarrie",3791,80,8,9,233,4118,
"Tingalpa",8143,166,3,10,381,8705,
"Wakerley",8580,110,12,4,291,8998,
"Wynnum",12221,317,27,20,647,13230,
"Wynnum West - Hemmant",13737,369,35,10,637,14792,
"Bald Hills",6820,184,3,23,248,7274,
"Bridgeman Downs",7857,45,0,0,245,8145,
"Carseldine",8535,88,3,4,394,9033,
"Everton Park",8288,151,16,5,335,8795,
"McDowall",7207,70,5,6,244,7539,
"Aspley",11619,197,3,5,488,12315,
"Chermside",8518,233,21,18,527,9319,
